designation,perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,reference
73P-L,2006,6,8.328699738832558,0.939089394354414,0.694735674965028,198.7475944367357,69.93678268425323,11.3987127952321,20.9,10.0,JPL 7
73P-M,2006,6,8.257155723031214,0.939096814670938,0.693940938277251,198.7775561198109,69.90530158146959,11.3943614399649,21.0,15.0,JPL 11
73P-N,2006,6,8.270428659956725,0.939254358392007,0.692288993783599,198.7643511012408,69.89730281276252,11.3809412138733,20.4,10.0,JPL 14
73P-Q,2006,6,7.679447559561447,0.939715748283575,0.698647244447971,198.4951921977602,70.13788751331991,11.4193580973025,21.5,7.5,JPL 3
73P-R,2006,6,8.179640503204293,0.939131547287258,0.694088213263508,198.769702114044,69.91308584130121,11.3947263030202,19.2,8.0,JPL 15
73P-S,2006,6,8.760161923487082,1.02236657781188,0.69335823324,181.562191599204,81.99161507316578,11.0481813428788,21.1,15.0,JPL 2
73P-T,2006,6,8.856637377563207,0.9395596625390024,0.6930133261136288,198.811273610088,69.89209753729159,11.39839723227064,14.1,41.75,JPL 6
73P-V,2006,6,8.659826548051308,0.9201567092433445,0.6934770489933493,203.1096750311751,66.62602797590701,11.56548048333898,21.8,10.0,JPL 3
73P-W,2006,6,8.464819503171238,0.9391578894381527,0.6982556072010587,198.6315421172845,70.04349661738824,11.42241329597308,23.2,4.5,JPL 4
73P-X,2006,6,8.549691722908044,0.9390478608212182,0.695386878094683,198.744828613018,69.935866036,11.40470428664802,21.7,10.0,JPL 8
73P-Y,2006,6,8.604123559510706,0.9391640401643984,0.7181092228730851,198.0116349251147,70.62872750928277,11.55279604807981,23.8,4.5,JPL 4
73P-Z,2006,6,8.313419667182037,0.9424466224751445,0.6933525892951293,197.9084282657699,70.57690994871797,11.34370063369903,22.2,10.0,JPL 3
73P-AI,2006,6,8.700244039056054,0.9388931783840914,0.698165609339885,198.7301308043815,69.9701918179508,11.42992480739673,21.3,10.0,JPL 7
73P-AJ,2006,6,8.922572763462037,0.9407242836529337,0.6623774763056245,199.211250770343,69.39463640910918,11.13826366019506,21.3,10.0,JPL 3
73P-AK,2006,6,8.382694025188334,0.937705211325409,0.69335823324,199.3256981265443,69.37619102093456,11.4294972671815,18.8,30.0,JPL 3
73P-AP,2006,6,6.609783375243241,0.938745428567555,0.701430092385429,198.7426204960793,69.9669785019781,11.4659092912232,20.3,10.0,JPL 8
73P-AQ,2006,6,7.900048966040729,0.939006436459305,0.695911908759867,198.7713164253278,69.92072504439952,11.4136956180962,17.5,35.0,JPL 9
73P-AR,2006,6,6.810796657243414,0.939204760431714,0.695799013016798,198.7098465902828,69.96630167530681,11.406522554195,21.8,20.0,JPL 2
73P-AS,2006,6,6.261313671217755,0.9388251153500813,0.7011056336835199,198.7219593922071,69.97647507180749,11.4618269105828,20.3,10.0,JPL 9
73P-AT,2006,6,6.288674818797071,0.939628790402723,0.686932227480063,198.8104065064084,69.84813048476539,11.3346206138147,21.0,10.0,JPL 2
73P-AV,2006,6,6.498219228855891,0.9389337823888884,0.69335823324,198.8600320948713,69.8670691928173,11.39736591011889,23.3,4.5,JPL 2
73P-AW,2006,6,8.170790984362396,0.9418417484436375,0.6482479664610991,199.0907015125213,69.4794170401655,10.97729838917803,21.1,10.0,JPL 3
73P-AY,2006,6,8.989628067085498,0.9408412832587709,0.6639784498299979,199.0210625953138,69.58711082630273,11.12606938008317,20.4,10.0,JPL 3
73P-AZ,2006,6,7.001237166767523,0.9421262737962867,0.6441287857743391,199.0403129348786,69.50004093303042,10.9281125379832,21.4,10.0,JPL 2
73P-BC,2006,6,6.606609144320301,0.938807404922457,0.700467515087574,198.7461327274749,69.95554650558832,11.4587061463897,19.8,50.0,JPL 7
73P-BK,2006,6,8.897088003162546,0.939266635740712,0.691542805405763,198.7753879911289,69.89745388065928,11.3707772083427,23.7,10.0,JPL 2
73P-BL,2006,6,8.86338709415258,0.939099661465389,0.696223718867002,198.699429249213,69.97335799061499,11.4093615023607,22.4,10.0,JPL 2
73P-BN,2006,6,8.212391105094271,0.939185744588995,0.691771506515135,198.794770559419,69.88153448038356,11.3774492573962,21.3,10.0,JPL 3
