perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2021,4,18.2684,1.878206,0.486279,245.189,138.8646,3.0116,7.5,25.0,16P,MPEC 2021-S45
2023,4,21.1656,2.9232009999999997,0.303874,225.6315,142.9226,10.125,12.0,10.0,170P,MPEC 2021-O56
2019,1,13.238,1.771714,0.501637,347.0681,101.6935,21.9355,13.5,10.0,171P,MPC102102
2025,11,4.6065,3.3488339999999996,0.205254,209.4084,30.8879,11.2273,13.0,10.0,172P,MPEC 2021-BE3
2021,12,16.8368,4.217036,0.260893,29.1943,100.4019,16.4937,7.5,10.0,173P,MPEC 2021-S45
2015,4,25.6587,5.818157,0.457446,163.1508,173.2092,4.3435,9.4,5.0,174P,MPC 92985
2019,10,8.3321,1.9580279999999999,0.435583,58.0547,123.1927,5.9898,14.0,10.0,175P,MPC114608
2022,11,23.021,2.578118,0.193109,34.861,345.9452,0.2347,15.1,5.0,176P,MPC 89015
2006,9,3.911,1.091451,0.955334,60.2957,272.196,31.2533,15.0,10.0,177P,MPEC 2020-L06
2020,7,16.6826,1.8809580000000001,0.48213199999999995,297.7936,102.8699,11.0883,14.6,10.0,178P,MPEC 2021-F20
2022,5,29.7454,4.118118,0.306014,296.8393,115.5172,19.8979,2.5,20.0,179P,MPC 75723
2021,2,19.8449,2.080818,0.427633,24.479,326.62,19.0322,10.0,15.0,17P,MPEC 2021-S45
2023,7,12.6171,2.499762,0.353017,94.7745,84.5698,16.865,11.0,10.0,180P,MPC100284
2022,1,8.7528,1.159813,0.7006399999999999,336.232,35.4068,17.4855,11.5,10.0,181P,MPC 89012
2022,5,12.2405,0.9940479999999999,0.663189,54.206,72.469,16.2251,18.0,10.0,182P,MPEC 2014-J10
2017,12,4.0119,3.94619,0.133463,167.1761,4.3144,18.8578,12.5,5.0,183P,MPEC 2021-S45
2020,10,26.2433,1.7035580000000001,0.551037,186.4717,173.2479,4.5733,13.5,10.0,184P,MPEC 2020-W26
2023,7,13.0366,0.931525,0.699383,181.8739,214.102,14.0094,15.0,10.0,185P,MPC109593
2019,2,11.5802,4.309677,0.1217,274.3785,326.632,28.8557,7.5,10.0,186P,MPEC 2021-S45
2018,5,14.514,3.8741440000000003,0.152041,131.771,109.9147,13.6342,9.0,10.0,187P,MPEC 2020-SI8
2026,4,12.9799,2.553648,0.416101,26.5638,358.9648,10.5256,11.5,10.0,188P,MPC106349
2022,8,28.8163,1.211641,0.5887479999999999,16.3035,281.7267,20.0689,19.0,10.0,189P,MPC106349
2024,12,24.3106,2.025154,0.521628,50.2878,335.578,2.1743,13.0,10.0,190P,MPEC 2020-K19
2021,3,20.1616,2.232259,0.385856,284.0241,98.2328,8.8426,13.0,10.0,191P,MPEC 2021-S45
2024,5,24.3779,1.467706,0.773331,312.9836,51.6167,24.5652,15.0,10.0,192P,MPC 75724
2021,8,25.2591,2.168037,0.39419,8.0982,335.1743,10.6885,14.0,10.0,193P,MPEC 2021-S45
2024,1,30.8763,1.665989,0.583743,131.463,350.0378,11.7303,16.0,10.0,194P,MPC 98566
2025,7,27.9394,4.465498999999999,0.31346599999999997,249.2785,243.1238,36.3329,8.5,10.0,195P,MPEC 2021-S45
2022,10,29.74,2.1733740000000004,0.42858900000000005,12.1789,24.1516,19.2924,13.5,10.0,196P,MPC 92985
2022,12,7.6859,1.062475,0.629514,188.7511,66.378,25.5316,16.5,5.0,197P,MPC 94676
2018,12,13.8578,2.002278,0.44354499999999997,69.1794,358.2541,1.3387,9.0,10.0,198P,NK   1596
1997,3,29.7473,0.896546,0.9949610000000001,130.4636,283.1176,89.1047,-2.0,10.0,1995 O1,MPC106342
2019,2,12.0257,2.588324,0.31432899999999997,333.3348,40.0161,2.6006,11.5,10.0,1996 R2,NK   1615
2022,3,28.7331,2.056111,0.760314,183.3276,328.8813,12.3395,15.0,5.0,1997 B1,MPC 30063
2018,1,18.4113,3.429667,0.24249099999999998,244.6064,159.0376,5.0264,13.0,5.0,1998 VS24,MPC 75703
2019,6,26.3772,1.1228049999999998,0.672331,231.2646,137.8859,7.5673,20.0,5.0,1999 RO28,NK    731
2025,12,24.6378,3.300518,0.21021900000000002,161.7921,285.2966,5.0296,13.5,5.0,1999 XN120,MPC 75704
2023,8,7.9989,2.910835,0.505945,191.6963,92.3742,24.9319,10.0,10.0,199P,MPC 75725
2022,2,1.8174,1.306325,0.637705,351.9075,74.2497,29.304,12.6,10.0,19P,MPEC 2021-S45
2017,9,9.4886,0.25524,1.199252,241.6845,24.5997,122.6778,23.0,5.0,1I,MPC107687
1986,2,8.5098,0.60388,0.9662120000000001,111.7492,58.8166,162.2428,4.0,15.0,1P,98
2019,6,17.6077,1.623823,0.531619,176.5519,160.2859,11.687,18.0,10.0,2000 R2,NK    744
2015,10,17.4265,2.4493099999999997,0.59831,224.8317,328.6826,8.3667,12.0,10.0,2001 H5,MPC 43019
2024,2,28.6819,1.407562,0.8230540000000001,42.9277,22.1675,56.9102,13.5,10.0,2001 Q6,MPC 75704
2018,6,17.775,2.637222,0.592324,167.3434,330.3258,4.9762,12.5,10.0,2002 EJ57,MPC 47727
2024,7,21.7217,3.37689,0.561013,219.6634,206.2108,10.8398,10.5,10.0,2002 T6,MPC109588
2006,1,27.4298,6.826516000000001,0.963051,100.0972,35.0766,70.6304,9.5,5.0,2002 VQ94,MPC 75007
2019,11,12.7081,2.976805,0.542137,192.1644,359.0205,11.607,16.5,5.0,2003 F2,MPC 50354
2025,8,5.6029,4.229439,0.472954,37.5368,264.5571,11.3904,8.5,10.0,2003 QX29,MPC 50139
2020,5,6.9401,0.595146,0.769845,219.7498,174.5798,11.0207,17.0,10.0,2003 T12,MPC105235
2027,1,20.7123,5.499680000000001,0.30937600000000004,21.2435,124.8493,10.5517,6.5,10.0,2004 A1,MPC 82312
2024,6,4.4799,4.072855000000001,0.4411,40.639,147.3715,14.5325,13.5,5.0,2004 DO29,MPC 54558
2026,5,31.7052,4.079784,0.168094,242.3492,326.7631,2.1348,12.5,5.0,2004 FY140,MPC 54823
2021,9,22.8091,3.547268,0.25858000000000003,37.926,305.4302,12.7933,14.5,10.0,2004 R3,MPC 53304
2023,11,22.3774,3.9526220000000003,0.44628999999999996,322.3833,356.1272,50.4426,11.5,10.0,2004 V3,MPC 55521
2027,8,17.6263,4.43999,0.44373199999999996,87.665,47.7885,19.3407,8.0,10.0,2004 V5,MPC 75705
2023,9,29.3233,4.400327,0.375159,194.0192,335.5672,4.2638,10.0,10.0,2005 E1,MPC 54164
2019,9,27.5468,2.81003,0.517217,284.6313,314.693,1.188,11.5,10.0,2005 GF8,MPC 54823
2018,10,12.3402,1.537353,0.5694640000000001,338.9607,268.8164,31.7568,16.5,10.0,2005 J1,MPC 79019
2021,11,2.7916,3.142607,0.20977800000000002,149.7383,138.2481,7.7385,9.5,10.0,2005 L1,MPC 74246
2029,1,15.6449,6.428649,0.197721,229.193,161.2154,3.1357,7.5,10.0,2005 S2,MPC 75706
2026,1,17.5968,3.824985,0.46390699999999996,83.3326,1.1694,24.0932,12.0,5.0,2005 SB216,MPC 75706
2020,4,8.4529,2.245487,0.416343,58.8593,260.1606,8.2912,14.5,10.0,2005 T2,MPC 55717
2026,8,17.1373,6.259739,0.174672,6.746,27.7065,6.2236,9.0,10.0,2005 T3,MPC 73461
2034,5,24.2042,0.65798,0.9297120000000001,41.7076,25.8018,160.2288,15.0,10.0,2005 T4,MPC 73461
2025,6,14.1572,3.261564,0.552463,304.5943,57.0003,21.3656,11.0,10.0,2005 T5,MPC 75706
2020,10,18.9865,3.377311,0.469826,193.8475,94.345,19.0489,9.0,10.0,2005 Y2,MPC 75706
2019,8,2.4519,2.320607,0.340625,30.8582,183.8234,12.4334,15.0,10.0,2006 F4,MPC 56954
2028,10,10.8801,1.230297,0.842491,117.2997,309.8938,31.8334,11.0,10.0,2006 HR30,MPC 75707
2022,11,29.1573,2.798633,0.557897,186.7198,300.9084,26.4877,13.5,10.0,2007 A2,MPC 75707
2026,3,25.2749,3.697724,0.47122299999999995,180.0853,275.4554,8.6265,10.0,10.0,2007 C2,MPC 75707
2007,6,7.7863,8.815081,0.9934219999999999,339.9625,171.2237,41.5017,3.5,10.0,2007 D1,MPC 84315
2026,12,31.3602,2.30401,0.682983,347.4182,188.6393,7.6301,14.0,10.0,2007 K2,MPC 82314
2020,11,26.9853,1.86495,0.670127,162.7919,172.1575,10.2026,16.0,10.0,2007 Q2,MPC 60925
2021,12,8.7004,1.957585,0.670157,282.5862,87.1987,20.2097,14.5,10.0,2007 R4,MPC 75708
2022,10,7.8119,2.5219419999999997,0.339658,245.4896,141.37,5.9641,13.0,10.0,2007 S1,MPC 73462
2023,11,17.5493,0.653463,0.785514,359.643,3.3757,9.7507,18.5,10.0,2007 T2,MPC 61994
2023,5,11.0657,2.33108,0.613296,141.2355,218.0119,25.8653,12.5,10.0,2008 L2,MPC 75709
2031,12,19.6927,2.500848,0.695751,341.1142,47.5793,32.2887,13.0,10.0,2008 O3,MPC 64114
2021,8,26.7964,1.8487220000000002,0.46979499999999996,341.9376,56.4458,7.1118,13.5,10.0,2008 WZ96,MPC 66204
2031,10,19.5222,4.462803,0.44544399999999995,238.1623,262.814,38.7698,8.5,10.0,2008 Y3,MPC 75710
2026,7,1.8794,2.458948,0.635034,128.874,297.0872,22.2224,13.0,10.0,2009 B1,MPC 75710
